"","regspp","region","spp","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"13","AFSC_Aleutians_Chauliodusmacouni","AFSC_Aleutians","Chauliodusmacouni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180.326889069082,NA,NA,-179.519635623548,NA,NA,NA,NA,-175.624128174753,NA,NA,-182.027720295047,NA,NA,-177.368765512159,NA,NA,-174.965391596665,NA,-172.801434185836,NA,-172.567874598724,NA,-172.938511011419,NA,NA,NA,-174.792268286971,NA
"14","AFSC_Aleutians_Chionoecetesbairdi","AFSC_Aleutians","Chionoecetesbairdi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.265432156409,NA,NA,-170.299428889826,NA,NA,NA,NA,-169.295115762204,NA,NA,-172.669836952682,NA,NA,-173.141220227385,NA,NA,-170.50064714785,NA,-169.499338166273,NA,-168.700914518566,NA,-168.917701598471,NA,NA,NA,-167.91086942137,NA
"15","AFSC_Aleutians_Chlamyssp.","AFSC_Aleutians","Chlamyssp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-173.883234035527,NA,NA,-175.956243656152,NA,NA,NA,NA,-176.123691817262,NA,NA,-177.173254358716,NA,NA,-177.114655669845,NA,NA,-177.714467346001,NA,-179.515260608332,NA,-172.087833687334,NA,-174.399031758185,NA,NA,NA,-174.622626706333,NA
"16","AFSC_Aleutians_Dasycottussetiger","AFSC_Aleutians","Dasycottussetiger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.008055024302,NA,NA,-172.432770482999,NA,NA,NA,NA,-179.321426496505,NA,NA,-176.721907726624,NA,NA,-174.715798585869,NA,NA,-174.003436972111,NA,-172.982366279871,NA,-172.718923385026,NA,-167.714346927989,NA,NA,NA,-175.361598079599,NA
"17","AFSC_Aleutians_Decapodiformes","AFSC_Aleutians","Decapodiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-179.1589485842,NA,NA,-170.398968035709,NA,NA,NA,NA,-180.313987412952,NA,NA,-182.117411384035,NA,NA,-170.535690934813,NA,NA,-169.643964017846,NA,-172.593247887087,NA,-184.018462010855,NA,-176.534098054419,NA,NA,NA,-183.101760898521,NA
"18","AFSC_Aleutians_Erimacrusisenbeckii","AFSC_Aleutians","Erimacrusisenbeckii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.04260391515,NA,NA,-183.607072439064,NA,NA,NA,NA,-184.276900969989,NA,NA,-179.428955624759,NA,NA,-181.065381917398,NA,NA,-174.616421818821,NA,-179.807190202339,NA,-181.765217278485,NA,-179.444221481674,NA,NA,NA,-182.779206020306,NA
"19","AFSC_Aleutians_Eumicrotremusorbis","AFSC_Aleutians","Eumicrotremusorbis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-173.934237135399,NA,NA,-176.235520084545,NA,NA,NA,NA,-175.464814273687,NA,NA,-176.965334558399,NA,NA,-176.807256612439,NA,NA,-173.586496869643,NA,-174.848296972143,NA,-175.481761284503,NA,-173.628152049776,NA,NA,NA,-178.081548698244,NA
"20","AFSC_Aleutians_Gadusmacrocephalus","AFSC_Aleutians","Gadusmacrocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.633856196053,NA,NA,-178.964764491799,NA,NA,NA,NA,-177.784988899626,NA,NA,-174.94688246933,NA,NA,-176.662546745862,NA,NA,-178.603901719114,NA,-178.00445944704,NA,-173.437975684858,NA,-176.260692006969,NA,NA,NA,-175.872342366325,NA
"21","AFSC_Aleutians_Gastropoda","AFSC_Aleutians","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-168.383649513043,NA,NA,-180.247950516372,NA,NA,NA,NA,-180.121963712712,NA,NA,-172.141889887262,NA,NA,-179.309565694286,NA,NA,-171.989674391956,NA,-179.176224742648,NA,-181.489580210512,NA,-168.373510096235,NA,NA,NA,-186.448134148936,NA
"22","AFSC_Aleutians_Glyptocephaluszachirus","AFSC_Aleutians","Glyptocephaluszachirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-171.879660126465,NA,NA,-176.773940379358,NA,NA,NA,NA,-178.314636137107,NA,NA,-175.735774772572,NA,NA,-176.695596577638,NA,NA,-175.736134918058,NA,-173.630605064863,NA,-174.668393462283,NA,-174.776953672284,NA,NA,NA,-175.93343635197,NA
